initial_buy,market_cap,price,sol_amount,target
707783.634087,27.995915,2.7995915219584048e-08,0.01980198,1
66439628.45773,31.771763,3.177176344623955e-08,1.980198019,1
66439628.45773,31.771763,3.177176344623955e-08,1.980198019,1
30280572.183783,29.60643,2.9606430240447347e-08,0.8712,1
97545454.545454,33.830382,3.3830382106244145e-08,3.0,1
67062499.999999,31.811121,3.1811121466293816e-08,2.0,1
66439628.45773,31.771763,3.177176344623955e-08,1.980198019,1
266253101.736772,49.459118,4.94591180764366e-08,9.900990099,1
112104475.239073,34.863311,3.4863311415264284e-08,3.499999917,1
70196261.682243,32.010252,3.201025163094129e-08,2.1,1
29614249.019815,29.568628,2.9568628016069097e-08,0.851485148,1
34281150.129545,29.834925,2.98349250260212e-08,0.990099009,1
112104475.239073,34.863311,3.4863311415264284e-08,3.499999917,1
66439628.45773,31.771763,3.177176344623955e-08,1.980198019,1
34281150.129545,29.834925,2.98349250260212e-08,0.990099009,1
66439628.45773,31.771763,3.177176344623955e-08,1.980198019,1
66439628.45773,31.771763,3.177176344623955e-08,1.980198019,0
47388012.590148,30.602352,3.0602351569880334e-08,1.386138613,1
97545454.545454,33.830382,3.3830382106244145e-08,3.0,0
66439628.45773,31.771763,3.177176344623955e-08,1.980198019,0
66439628.45773,31.771763,3.177176344623955e-08,1.980198019,1
66439628.45773,31.771763,3.177176344623955e-08,1.980198019,0
66439628.45773,31.771763,3.177176344623955e-08,1.980198019,1
29145251.383912,29.542064,2.954206397286941e-08,0.837623762,1
97545454.545455,33.830382,3.3830382106244205e-08,3.0,1
112104475.239073,34.863311,3.4863311415264284e-08,3.499999917,1
34281150.129545,29.834925,2.98349250260212e-08,0.990099009,0
96666666.645849,33.769509,3.376950873502591e-08,2.970297029,1
13980455.992597,28.702057,2.870205727080283e-08,0.396039603,1
34281150.129545,29.834925,2.98349250260212e-08,0.990099009,1
34281150.129545,29.834925,2.98349250260212e-08,0.990099009,1
60168224.272876,31.379523,3.137952321271039e-08,1.782178217,1
46092229.927901,30.52517,3.05251703868198e-08,1.346534653,1
3529605.227977,28.143846,2.814384582045034e-08,0.0990099,1
34281150.129545,29.834925,2.98349250260212e-08,0.990099009,1
66439628.45773,31.771763,3.177176344623955e-08,1.980198019,1
96666666.645849,33.769509,3.376950873502591e-08,2.970297029,1
66439628.45773,31.771763,3.177176344623955e-08,1.980198019,1
67062499.999999,31.811121,3.1811121466293816e-08,2.0,0
35.408998,27.958995,2.795899532152841e-08,9.9e-07,1
50613207.51952,30.795731,3.079573087755936e-08,1.485148514,1
35.408998,27.958995,2.795899532152841e-08,9.9e-07,1
66439628.45773,31.771763,3.177176344623955e-08,1.980198019,0
96666666.645849,33.769509,3.376950873502591e-08,2.970297029,0
66439628.45773,31.771763,3.177176344623955e-08,1.980198019,1
96666666.645849,33.769509,3.376950873502591e-08,2.970297029,0
50613207.51952,30.795731,3.079573087755936e-08,1.485148514,1
66439628.45773,31.771763,3.177176344623955e-08,1.980198019,1
17418831.135929,28.889346,2.8889345891625006e-08,0.495049504,0
66439628.45773,31.771763,3.177176344623955e-08,1.980198019,0
112104475.239073,34.863311,3.4863311415264284e-08,3.499999917,0
66433395.87242,31.77137,3.1771369990680314e-08,1.98,1
66439628.45773,31.771763,3.177176344623955e-08,1.980198019,1
66439628.45773,31.771763,3.177176344623955e-08,1.980198019,1
66439628.45773,31.771763,3.177176344623955e-08,1.980198019,1
66439628.45773,31.771763,3.177176344623955e-08,1.980198019,1
30280572.183783,29.60643,2.9606430240447347e-08,0.8712,1
96666666.645849,33.769509,3.376950873502591e-08,2.970297029,1
66439628.45773,31.771763,3.177176344623955e-08,1.980198019,1
34281150.129545,29.834925,2.98349250260212e-08,0.990099009,1
15358490.553651,28.7769,2.877689963202403e-08,0.435643564,1
50613207.51952,30.795731,3.079573087755936e-08,1.485148514,1
66439628.45773,31.771763,3.177176344623955e-08,1.980198019,1
45118242.169625,30.467348,3.0467348451735055e-08,1.316831683,1
2120553.33852,28.069832,2.8069831794523365e-08,0.05940594,1
