iter	Passed	Remaining
0	29	29847
1	37	18537
2	45	15168
3	52	13114
4	60	12025
5	64	10719
6	70	10049
7	77	9648
8	86	9519
9	93	9242
10	97	8781
11	103	8485
12	107	8192
13	118	8368
14	126	8282
15	134	8290
16	141	8200
17	147	8067
18	155	8004
19	160	7843
20	163	7605
21	166	7405
22	169	7204
23	172	7014
24	177	6914
25	190	7135
26	199	7173
27	206	7159
28	214	7168
29	222	7178
30	227	7110
31	234	7087
32	240	7046
33	252	7184
34	260	7191
35	271	7282
36	276	7197
37	285	7239
38	293	7236
39	298	7171
40	308	7218
41	317	7241
42	324	7211
43	330	7187
44	336	7149
45	348	7232
46	355	7201
47	369	7322
48	374	7271
49	390	7422
50	394	7345
51	398	7257
52	424	7590
53	434	7608
54	443	7623
55	464	7833
56	475	7858
57	479	7790
58	482	7701
59	486	7619
60	492	7588
61	499	7559
62	507	7546
63	511	7482
64	515	7409
65	520	7363
66	528	7353
67	534	7330
68	540	7296
69	550	7308
70	560	7332
71	570	7351
72	578	7339
73	585	7323
74	588	7262
75	593	7219
76	597	7157
77	600	7096
78	605	7054
79	608	6994
80	612	6953
81	616	6898
82	619	6842
83	622	6789
84	625	6734
85	629	6685
86	632	6636
87	635	6583
88	639	6543
89	642	6496
90	648	6477
91	654	6463
92	658	6418
93	663	6399
94	670	6386
95	676	6372
96	682	6351
97	686	6318
98	691	6294
99	695	6262
100	699	6229
101	707	6226
102	710	6186
103	713	6146
104	716	6106
105	719	6069
106	722	6032
107	727	6009
108	731	5983
109	737	5967
110	740	5932
111	744	5901
112	748	5873
113	753	5859
114	758	5835
115	764	5827
116	769	5808
117	773	5782
118	778	5763
119	781	5732
120	785	5703
121	791	5692
122	795	5670
123	803	5675
124	807	5655
125	812	5634
126	816	5614
127	821	5595
128	829	5600
129	835	5588
130	838	5561
131	841	5535
132	847	5525
133	851	5504
134	857	5491
135	861	5472
136	865	5454
137	870	5438
138	876	5426
139	882	5421
140	890	5424
141	894	5405
142	899	5389
143	904	5374
144	908	5355
145	914	5346
146	918	5330
147	922	5311
148	926	5292
149	932	5286
150	939	5283
151	942	5259
152	947	5244
153	950	5223
154	954	5204
155	958	5184
156	962	5165
157	966	5151
158	969	5127
159	973	5109
160	976	5088
161	982	5081
162	987	5070
163	994	5071
164	1001	5068
165	1010	5074
166	1019	5082
167	1026	5083
168	1034	5088
169	1038	5071
170	1043	5061
171	1048	5047
172	1053	5035
173	1057	5020
174	1062	5006
175	1067	4997
176	1071	4984
177	1075	4964
178	1079	4950
179	1083	4935
180	1088	4924
181	1096	4930
182	1104	4928
183	1109	4919
184	1114	4909
185	1120	4905
186	1127	4904
187	1136	4907
188	1142	4903
189	1151	4910
190	1159	4910
191	1168	4915
192	1173	4904
193	1178	4896
194	1184	4889
195	1191	4886
196	1198	4886
197	1204	4877
198	1210	4873
199	1214	4856
200	1218	4845
201	1222	4830
202	1226	4815
203	1230	4802
204	1236	4795
205	1244	4795
206	1249	4787
207	1254	4777
208	1259	4768
209	1264	4756
210	1272	4758
211	1283	4769
212	1292	4777
213	1303	4787
214	1312	4790
215	1323	4804
216	1332	4806
217	1344	4822
218	1356	4836
219	1370	4857
220	1383	4877
221	1397	4897
222	1408	4909
223	1413	4898
224	1429	4922
225	1440	4934
226	1453	4950
227	1462	4951
228	1473	4960
229	1484	4969
230	1492	4970
231	1499	4963
232	1504	4953
233	1518	4969
234	1529	4978
235	1539	4983
236	1550	4992
237	1563	5005
238	1577	5024
239	1587	5026
240	1591	5010
241	1601	5016
242	1608	5011
243	1615	5004
244	1624	5004
245	1632	5003
246	1636	4989
247	1644	4985
248	1655	4993
249	1666	5000
250	1673	4995
251	1678	4981
252	1685	4977
253	1690	4963
254	1697	4960
255	1710	4972
256	1720	4975
257	1724	4959
258	1735	4965
259	1751	4984
260	1755	4971
261	1759	4957
262	1763	4942
263	1769	4933
264	1773	4919
265	1777	4905
266	1806	4959
267	1811	4947
268	1815	4932
269	1819	4919
270	1846	4967
271	1852	4958
272	1856	4942
273	1859	4926
274	1862	4910
275	1866	4895
276	1869	4880
277	1872	4864
278	1876	4849
279	1879	4833
280	1884	4821
281	1888	4808
282	1891	4792
283	1895	4777
284	1897	4761
285	1901	4746
286	1904	4731
287	1907	4716
288	1911	4701
289	1913	4685
290	1917	4671
291	1920	4656
292	1923	4641
293	1927	4627
294	1929	4612
295	1933	4597
296	1936	4583
297	1939	4568
298	1942	4554
299	1945	4540
300	1949	4526
301	1952	4511
302	1955	4499
303	1959	4485
304	1962	4471
305	1965	4458
306	1968	4444
307	1972	4430
308	1976	4418
309	1979	4405
310	1982	4391
311	1987	4383
312	1993	4376
313	2000	4370
314	2003	4357
315	2007	4344
316	2010	4331
317	2013	4318
318	2016	4305
319	2020	4292
320	2023	4279
321	2027	4270
322	2034	4265
323	2040	4257
324	2043	4244
325	2047	4233
326	2050	4220
327	2053	4207
328	2056	4194
329	2059	4181
330	2062	4169
331	2066	4156
332	2069	4144
333	2072	4132
334	2075	4119
335	2078	4107
336	2081	4094
337	2084	4082
338	2087	4070
339	2090	4058
340	2093	4046
341	2097	4034
342	2100	4024
343	2104	4012
344	2107	4000
345	2110	3989
346	2113	3977
347	2116	3966
348	2119	3954
349	2129	3955
350	2137	3951
351	2143	3945
352	2165	3968
353	2174	3968
354	2181	3963
355	2185	3954
356	2188	3942
357	2192	3932
358	2196	3922
359	2202	3915
360	2206	3906
361	2210	3895
362	2214	3885
363	2217	3874
364	2221	3864
365	2224	3853
366	2227	3841
367	2230	3830
368	2233	3819
369	2239	3812
370	2250	3815
371	2256	3809
372	2263	3805
373	2275	3809
374	2280	3801
375	2288	3798
376	2295	3793
377	2299	3784
