initial_buy,market_cap,price,sol_amount,target
1061325.409773,28.014385,2.8014385227288803e-08,0.02970297,1
40876190.447028,30.21742,3.021742016057939e-08,1.188118811,1
103363853.237102,34.237605,3.423760542738696e-08,3.198019801,0
34281150.129545,29.834925,2.98349250260212e-08,0.990099009,0
153285714.285714,38.055297,3.805529667598631e-08,5.0,0
50613207.51952,30.795731,3.079573087755936e-08,1.485148514,1
50613207.51952,30.795731,3.079573087755936e-08,1.485148514,0
34281150.129545,29.834925,2.98349250260212e-08,0.990099009,0
66439628.45773,31.771763,3.177176344623955e-08,1.980198019,0
81783536.562398,32.763023,3.276302273206171e-08,2.475247524,0
2000786.785987,28.063554,2.806355421939288e-08,0.056044489,1
40876190.447028,30.21742,3.021742016057939e-08,1.188118811,0
153285714.285714,38.055297,3.805529667598631e-08,5.0,0
44142405.034639,30.409581,3.040958133088704e-08,1.287128712,0
10519607.80911,28.515378,2.851537771866636e-08,0.297029702,1
35951030.927835,29.931084,2.993108418763591e-08,1.04,1
57003124.97333,31.184317,3.1184316698974405e-08,1.683168316,1
66439628.45773,31.771763,3.177176344623955e-08,1.980198019,0
34281150.129545,29.834925,2.98349250260212e-08,0.990099009,0
66439628.45773,31.771763,3.177176344623955e-08,1.980198019,0
96666666.645849,33.769509,3.376950873502591e-08,2.970297029,0
10519607.80911,28.515378,2.851537771866636e-08,0.297029702,1
50613207.51952,30.795731,3.079573087755936e-08,1.485148514,1
34281150.129545,29.834925,2.98349250260212e-08,0.990099009,0
96666666.645849,33.769509,3.376950873502591e-08,2.970297029,0
66439628.45773,31.771763,3.177176344623955e-08,1.980198019,1
40876190.447028,30.21742,3.021742016057939e-08,1.188118811,0
66439628.45773,31.771763,3.177176344623955e-08,1.980198019,1
3529605.227977,28.143846,2.814384582045034e-08,0.0990099,1
43816714.124635,30.390338,3.0390337805959745e-08,1.277227722,0
66439628.45773,31.771763,3.177176344623955e-08,1.980198019,0
34281150.129545,29.834925,2.98349250260212e-08,0.990099009,0
66439628.45773,31.771763,3.177176344623955e-08,1.980198019,1
96666666.645849,33.769509,3.376950873502591e-08,2.970297029,0
205553361.790873,42.779474,4.277947398310587e-08,7.108910891,1
2034630.738522,28.065328,2.80653279398724e-08,0.056994301,1
24999999.967182,29.308825,2.930882524144859e-08,0.715648854,1
27601286.142372,29.454866,2.945486616620569e-08,0.792079207,1
17418831.135929,28.889346,2.8889345891625006e-08,0.495049504,1
98975447.765048,33.92979,3.3929789721592274e-08,3.048448241,0
1767710.031775,28.051344,2.8051343514758427e-08,0.04950495,1
34281150.129545,29.834925,2.98349250260212e-08,0.990099009,0
17418831.135929,28.889346,2.8889345891625006e-08,0.495049504,1
66439628.45773,31.771763,3.177176344623955e-08,1.980198019,0
99999999.983405,34.001282,3.400128230877259e-08,3.083247687,0
50613207.51952,30.795731,3.079573087755936e-08,1.485148514,0
17418831.135929,28.889346,2.8889345891625006e-08,0.495049504,1
34281150.129545,29.834925,2.98349250260212e-08,0.990099009,0
66439628.45773,31.771763,3.177176344623955e-08,1.980198019,0
34281150.129545,29.834925,2.98349250260212e-08,0.990099009,0
34281150.129545,29.834925,2.98349250260212e-08,0.990099009,0
3529605.227977,28.143846,2.814384582045034e-08,0.0990099,1
34281150.129545,29.834925,2.98349250260212e-08,0.990099009,0
40876190.447028,30.21742,3.021742016057939e-08,1.188118811,0
66439628.45773,31.771763,3.177176344623955e-08,1.980198019,0
66439628.45773,31.771763,3.177176344623955e-08,1.980198019,0
66439628.45773,31.771763,3.177176344623955e-08,1.980198019,0
34281150.129545,29.834925,2.98349250260212e-08,0.990099009,1
34281150.129545,29.834925,2.98349250260212e-08,0.990099009,0
66439628.45773,31.771763,3.177176344623955e-08,1.980198019,0
89281391.823713,33.264362,3.3264362394917606e-08,2.722772277,1
354008.574488,27.977451,2.7977451302566102e-08,0.00990099,0
66439628.45773,31.771763,3.177176344623955e-08,1.980198019,0
3529605.227977,28.143846,2.814384582045034e-08,0.0990099,0
67062499.999999,31.811121,3.1811121466293816e-08,2.0,1
30280572.183783,29.60643,2.9606430240447347e-08,0.8712,0
34281150.129545,29.834925,2.98349250260212e-08,0.990099009,0
81783536.562398,32.763023,3.276302273206171e-08,2.475247524,0
34281150.129545,29.834925,2.98349250260212e-08,0.990099009,1
34281150.129545,29.834925,2.98349250260212e-08,0.990099009,0
67062499.999999,31.811121,3.1811121466293816e-08,2.0,0
66439628.45773,31.771763,3.177176344623955e-08,1.980198019,0
35937799.02983,29.93032,2.993032040986789e-08,1.03960396,0
66439628.45773,31.771763,3.177176344623955e-08,1.980198019,1
50613207.51952,30.795731,3.079573087755936e-08,1.485148514,0
82538461.538461,32.812985,3.281298539919226e-08,2.5,0
34277831.558568,29.834734,2.9834734389562016e-08,0.99,0
96666666.645849,33.769509,3.376950873502591e-08,2.970297029,0
29260509.918218,29.548589,2.9548588901799093e-08,0.841029113,1
17418831.135929,28.889346,2.8889345891625006e-08,0.495049504,1
34281150.129545,29.834925,2.98349250260212e-08,0.990099009,0
50613207.51952,30.795731,3.079573087755936e-08,1.485148514,0
40876190.447028,30.21742,3.021742016057939e-08,1.188118811,0
66439628.45773,31.771763,3.177176344623955e-08,1.980198019,0
34281150.129545,29.834925,2.98349250260212e-08,0.990099009,0
40876190.447028,30.21742,3.021742016057939e-08,1.188118811,0
34281150.129545,29.834925,2.98349250260212e-08,0.990099009,0
34281150.129545,29.834925,2.98349250260212e-08,0.990099009,0
354008.574488,27.977451,2.7977451302566102e-08,0.00990099,1
97545454.545454,33.830382,3.3830382106244145e-08,3.0,0
97545454.545454,33.830382,3.3830382106244145e-08,3.0,0
66439628.45773,31.771763,3.177176344623955e-08,1.980198019,0
24229032.226263,29.26575,2.9265750339326476e-08,0.693069306,0
50613207.51952,30.795731,3.079573087755936e-08,1.485148514,0
3177689.997932,28.125333,2.812533317793852e-08,0.08910891,1
99904474.002418,33.994607,3.3994607020813894e-08,3.08,1
67062499.999999,31.811121,3.1811121466293816e-08,2.0,0
34281150.129545,29.834925,2.98349250260212e-08,0.990099009,0
34277831.558568,29.834734,2.9834734389562016e-08,0.99,0
61743390.347632,31.477355,3.1477354871324414e-08,1.831683168,1
34281150.129545,29.834925,2.98349250260212e-08,0.990099009,0
125131195.318419,35.828161,3.582816089238039e-08,3.960396039,0
67062499.999999,31.811121,3.1811121466293816e-08,2.0,1
66439628.45773,31.771763,3.177176344623955e-08,1.980198019,0
50613207.51952,30.795731,3.079573087755936e-08,1.485148514,0
44142405.034639,30.409581,3.040958133088704e-08,1.287128712,1
47388012.590148,30.602352,3.0602351569880334e-08,1.386138613,0
17418831.135929,28.889346,2.8889345891625006e-08,0.495049504,0
17418831.135929,28.889346,2.8889345891625006e-08,0.495049504,0
2564138.013297,28.093101,2.809310068441405e-08,0.071862447,0
34281150.129545,29.834925,2.98349250260212e-08,0.990099009,0
17590163.934426,28.898726,2.8898726312519402e-08,0.5,1
1061325.409773,28.014385,2.8014385227288803e-08,0.02970297,0
34281150.129545,29.834925,2.98349250260212e-08,0.990099009,1
66439628.45773,31.771763,3.177176344623955e-08,1.980198019,1
34281150.129545,29.834925,2.98349250260212e-08,0.990099009,0
65815985.111078,31.73243,3.173242979092034e-08,1.960396039,0
67062499.999999,31.811121,3.1811121466293816e-08,2.0,1
50613207.51952,30.795731,3.079573087755936e-08,1.485148514,1
81783536.562398,32.763023,3.276302273206171e-08,2.475247524,0
3529605.227977,28.143846,2.814384582045034e-08,0.0990099,1
34281150.129545,29.834925,2.98349250260212e-08,0.990099009,0
87415176.126015,33.138509,3.3138508788743196e-08,2.660811348,0
29279293.725895,29.549652,2.954965248136055e-08,0.841584158,0
66439628.45773,31.771763,3.177176344623955e-08,1.980198019,0
34281150.129545,29.834925,2.98349250260212e-08,0.990099009,0
1767710.031775,28.051344,2.8051343514758427e-08,0.04950495,0
20834951.423962,29.077244,2.9077243581132898e-08,0.594059405,0
